0.000000	0.000000	0.000000	0.000000	
0.002632	0.000014	0.000013	0.007856	
0.002156	0.000100	0.000092	0.006437	
0.001712	0.000271	0.000248	0.005114	
0.001308	0.000524	0.000480	0.003908	
0.000950	0.000857	0.000787	0.002840	
0.000644	0.001265	0.001163	0.001925	
0.000394	0.001743	0.001607	0.001178	
0.000204	0.002283	0.002112	0.000609	
0.000075	0.002878	0.002675	0.000225	
0.000011	0.003519	0.003290	0.000032	
0.000677	0.004196	0.003950	0.001011	
0.004658	0.004899	0.004650	0.006944	
0.012192	0.005615	0.005382	0.018111	
0.022446	0.006334	0.006140	0.033081	
0.034252	0.007044	0.006915	0.049875	
0.046252	0.007733	0.007699	0.066369	
0.057081	0.008391	0.008486	0.080728	
0.065538	0.009006	0.009266	0.091655	
0.070732	0.009568	0.010032	0.098443	
0.072154	0.010069	0.010774	0.100878	
0.069697	0.010501	0.011486	0.099135	
0.063625	0.010859	0.012157	0.093672	
0.054515	0.011136	0.012782	0.085161	
0.043178	0.011331	0.013352	0.074428	
0.030585	0.011441	0.014072	0.062407	
0.021523	0.011467	0.015318	0.050092	
0.024557	0.011410	0.016547	0.038481	
0.026994	0.011273	0.017739	0.028525	
0.028699	0.011061	0.018872	0.021064	
0.033059	0.010780	0.019924	0.016747	
0.036874	0.010436	0.020876	0.014684	
0.044718	0.010036	0.021706	0.014919	
0.058189	0.009590	0.022397	0.021979	
0.076029	0.009104	0.022931	0.031358	
0.096603	0.008589	0.023295	0.046849	
0.118041	0.008051	0.023478	0.076237	
0.138378	0.007898	0.023471	0.105594	
0.155694	0.007837	0.023271	0.132684	
0.168250	0.007708	0.022878	0.155369	
0.174625	0.007512	0.022294	0.171730	
0.173863	0.007253	0.021527	0.180200	
0.165602	0.006935	0.020590	0.179708	
0.150187	0.006564	0.019496	0.169854	
0.128727	0.006146	0.018265	0.151104	
0.103073	0.005690	0.016919	0.125004	
0.075666	0.005202	0.015480	0.094279	
0.049278	0.004694	0.013976	0.062663	
0.026654	0.004173	0.012434	0.034350	
0.010156	0.003649	0.010881	0.013182	
0.001475	0.003133	0.009346	0.001920	
0.000014	0.002632	0.007856	0.000013	
0.000100	0.002156	0.006437	0.000092	
0.000271	0.001712	0.005114	0.000248	
0.000524	0.001308	0.003908	0.000480	
0.000857	0.000950	0.002840	0.000787	
0.001265	0.000644	0.001925	0.001163	
0.001743	0.000394	0.001178	0.001607	
0.002283	0.000204	0.000609	0.002112	
0.002878	0.000075	0.000225	0.002675	
0.003519	0.000011	0.000032	0.003290	
0.004196	0.000677	0.001011	0.003950	
0.004899	0.004658	0.006944	0.004650	
0.005615	0.012192	0.018111	0.005382	
0.006334	0.022446	0.033081	0.006140	
0.007044	0.034252	0.049875	0.006915	
0.007733	0.046252	0.066369	0.007699	
0.008391	0.057081	0.080728	0.008486	
0.009006	0.065538	0.091655	0.009266	
0.009568	0.070732	0.098443	0.010032	
0.010069	0.072154	0.100878	0.010774	
0.010501	0.069697	0.099135	0.011486	
0.010859	0.063625	0.093672	0.012157	
0.011136	0.054515	0.085161	0.012782	
0.011331	0.043178	0.074428	0.013352	
0.011441	0.030585	0.062407	0.014072	
0.011467	0.021523	0.050092	0.015318	
0.011410	0.024557	0.038481	0.016547	
0.011273	0.026994	0.028525	0.017739	
0.011061	0.028699	0.021064	0.018872	
0.010780	0.033059	0.016747	0.019924	
0.010436	0.036874	0.014684	0.020876	
0.010036	0.044718	0.014919	0.021706	
0.009590	0.058189	0.021979	0.022397	
0.009104	0.076029	0.031358	0.022931	
0.008589	0.096603	0.046849	0.023295	
0.008051	0.118041	0.076237	0.023478	
0.007898	0.138378	0.105594	0.023471	
0.007837	0.155694	0.132684	0.023271	
0.007708	0.168250	0.155369	0.022878	
0.007512	0.174625	0.171730	0.022294	
0.007253	0.173863	0.180200	0.021527	
0.006935	0.165602	0.179708	0.020590	
0.006564	0.150187	0.169854	0.019496	
0.006146	0.128727	0.151104	0.018265	
0.005690	0.103073	0.125004	0.016919	
0.005202	0.075666	0.094279	0.015480	
0.004694	0.049278	0.062663	0.013976	
0.004173	0.026654	0.034350	0.012434	
0.003649	0.010156	0.013182	0.010881	
